;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;;;;;;;;;;;;;;;;;;;;;;;;;
1;7;0.27;0.36;20.июл;0.045;45;170;1.001;3;0.45;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
2;06.мар;0.3;0.34;01.июн;0.049;14;132;0.994;03.мар;0.49;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
3;08.янв;0.28;0.4;06.сен;0.05;30;97;0.9951;мар.26;0.44;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
4;07.фев;0.23;0.32;08.май;0.058;47;186;0.9956;мар.19;0.4;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
5;07.фев;0.23;0.32;08.май;0.058;47;186;0.9956;мар.19;0.4;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
6;08.янв;0.28;0.4;06.сен;0.05;30;97;0.9951;мар.26;0.44;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
7;06.фев;0.32;0.16;7;0.045;30;136;0.9949;мар.18;0.47;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
8;7;0.27;0.36;20.июл;0.045;45;170;1.001;3;0.45;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
9;06.мар;0.3;0.34;01.июн;0.049;14;132;0.994;03.мар;0.49;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
10;08.янв;0.22;0.43;01.май;0.044;28;129;0.9938;мар.22;0.45;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
11;08.янв;0.27;0.41;янв.45;0.033;11;63;0.9908;фев.99;0.56;12;5;;;;;;;;;;;;;;;;;;;;;;;;;
12;08.июн;0.23;0.4;04.фев;0.035;17;109;0.9947;мар.14;0.53;09.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
13;07.сен;0.18;0.37;01.фев;0.04;16;75;0.992;мар.18;0.63;10.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
14;06.июн;0.16;0.4;01.май;0.044;48;143;0.9912;мар.54;0.52;12.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
15;08.мар;0.42;0.62;19.25;0.04;41;172;1.0002;фев.98;0.67;09.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
16;06.июн;0.17;0.38;01.май;0.032;28;112;0.9914;мар.25;0.55;11.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
17;06.мар;0.48;0.04;01.янв;0.046;30;99;0.9928;мар.24;0.36;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
18;06.фев;0.66;0.48;01.фев;0.029;29;75;0.9892;мар.33;0.39;12.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
19;07.апр;0.34;0.42;01.янв;0.033;17;171;0.9917;03.дек;0.53;11.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
20;06.май;0.31;0.14;07.май;0.044;34;133;0.9955;мар.22;0.5;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
21;06.фев;0.66;0.48;01.фев;0.029;29;75;0.9892;мар.33;0.39;12.авг;8;;;;;;;;;;;;;;;;;;;;;;;;;
22;06.апр;0.31;0.38;02.сен;0.038;19;102;0.9912;мар.17;0.35;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
23;06.авг;0.26;0.42;01.июл;0.049;41;122;0.993;мар.47;0.48;10.май;8;;;;;;;;;;;;;;;;;;;;;;;;;
24;07.июн;0.67;0.14;01.май;0.074;25;168;0.9937;03.май;0.51;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
25;06.июн;0.27;0.41;01.мар;0.052;16;142;0.9951;мар.42;0.47;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
26;7;0.25;0.32;9;0.046;56;245;0.9955;мар.25;0.5;10.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
27;06.сен;0.24;0.35;1;0.052;35;146;0.993;мар.45;0.44;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
28;7;0.28;0.39;08.июл;0.051;32;141;0.9961;мар.38;0.53;10.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
29;07.апр;0.27;0.48;01.янв;0.047;17;132;0.9914;мар.19;0.49;11.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
30;07.фев;0.32;0.36;2;0.033;37;114;0.9906;03.янв;0.71;12.мар;7;;;;;;;;;;;;;;;;;;;;;;;;;
31;08.май;0.24;0.39;10.апр;0.044;20;142;0.9974;03.фев;0.53;10;6;;;;;;;;;;;;;;;;;;;;;;;;;
32;08.мар;0.14;0.34;01.янв;0.042;7;47;0.9934;мар.47;0.4;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
33;07.апр;0.25;0.36;02.май;0.05;31;100;0.992;мар.19;0.44;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
34;06.фев;0.12;0.34;01.май;0.045;43;117;0.9939;мар.42;0.51;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
35;05.авг;0.27;0.2;14.95;0.044;22;179;0.9962;мар.37;0.37;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
36;07.мар;0.28;0.43;01.июл;0.08;21;123;0.9905;мар.19;0.42;12.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
37;06.май;0.39;0.23;05.апр;0.051;25;149;0.9934;мар.24;0.35;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
38;7;0.33;0.32;01.фев;0.053;38;138;0.9906;мар.13;0.28;11.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
39;07.мар;0.24;0.39;17.95;0.057;45;149;0.9999;мар.21;0.36;08.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
40;07.мар;0.24;0.39;17.95;0.057;45;149;0.9999;мар.21;0.36;08.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
41;06.июл;0.23;0.39;02.май;0.172;63;158;0.9937;03.ноя;0.36;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
42;06.июл;0.24;0.39;02.сен;0.173;63;157;0.9937;03.янв;0.34;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
43;7;0.31;0.26;07.апр;0.069;28;160;0.9954;мар.13;0.46;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
44;06.июн;0.24;0.27;01.апр;0.057;33;152;0.9934;мар.22;0.56;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
45;06.июл;0.23;0.26;01.апр;0.06;33;154;0.9934;мар.24;0.56;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
46;07.апр;0.18;0.31;01.апр;0.058;38;167;0.9931;мар.16;0.53;10;7;;;;;;;;;;;;;;;;;;;;;;;;;
47;06.фев;0.45;0.26;04.апр;0.063;63;206;0.994;мар.27;0.52;09.авг;4;;;;;;;;;;;;;;;;;;;;;;;;;
48;06.фев;0.46;0.25;04.апр;0.066;62;207;0.9939;мар.25;0.52;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
49;7;0.31;0.26;07.апр;0.069;28;160;0.9954;мар.13;0.46;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
50;06.сен;0.19;0.35;5;0.067;32;150;0.995;мар.36;0.48;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
51;07.фев;0.19;0.31;01.июн;0.062;31;173;0.9917;мар.35;0.44;11.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
52;06.июн;0.25;0.29;01.янв;0.068;39;124;0.9914;мар.34;0.58;11;7;;;;;;;;;;;;;;;;;;;;;;;;;
53;06.фев;0.16;0.33;01.янв;0.057;21;82;0.991;мар.32;0.46;10.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
54;06.апр;0.18;0.35;1;0.045;39;108;0.9911;мар.31;0.35;10.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
55;06.авг;0.2;0.59;0.9;0.147;38;132;0.993;03.май;0.38;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
56;06.сен;0.25;0.35;01.мар;0.039;29;191;0.9908;мар.13;0.52;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
57;07.фев;0.21;0.34;11.сен;0.043;37;213;0.9962;03.сен;0.5;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
58;6;0.19;0.26;12.апр;0.048;50;147;0.9972;03.мар;0.36;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
59;06.июн;0.38;0.15;04.июн;0.044;25;78;0.9931;03.ноя;0.38;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
60;07.апр;0.2;0.36;01.фев;0.038;44;111;0.9926;мар.36;0.34;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
61;06.авг;0.22;0.24;04.сен;0.092;30;123;0.9951;03.мар;0.46;08.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
62;6;0.19;0.26;12.апр;0.048;50;147;0.9972;03.мар;0.36;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
63;7;0.47;0.07;01.янв;0.035;17;151;0.991;03.фев;0.34;10.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
64;06.июн;0.38;0.15;04.июн;0.044;25;78;0.9931;03.ноя;0.38;10.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
65;07.фев;0.24;0.27;01.апр;0.038;31;122;0.9927;мар.15;0.46;10.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
